name, latitude, longitude, rank, score, private, religious, catholic, type
Southroyd Primary and Nursery School,53.788318,-1.663443,0.327014,70.000000,FALSE,FALSE,FALSE,Primary
Carlton Primary School,53.739721,-1.491680,0.322275,69.000000,FALSE,FALSE,FALSE,Primary
Whingate Primary School,53.793865,-1.603503,0.317536,69.000000,FALSE,FALSE,FALSE,Primary
Greenhill Primary School,53.799267,-1.622765,0.312796,69.000000,FALSE,FALSE,FALSE,Primary
St Josephs Catholic Primary School Hunslet,0.000000,0.000000,0.308057,69.000000,FALSE,TRUE,TRUE,Primary
Seven Hills Primary School,53.746954,-1.596386,0.303318,69.000000,FALSE,FALSE,FALSE,Primary
Windmill Primary School,53.762362,-1.527275,0.298578,69.000000,FALSE,FALSE,FALSE,Primary
St Matthews Church of England Aided Primary School,53.831420,-1.542350,0.293839,69.000000,FALSE,TRUE,FALSE,Primary
Rothwell Church of England Voluntary Controlled Primary School,0.000000,0.000000,0.289100,69.000000,FALSE,TRUE,FALSE,Primary
St Oswalds Church of England Junior School,53.872281,-1.706960,0.284360,68.000000,FALSE,TRUE,FALSE,Primary
Low Road Primary School,53.778575,-1.523844,0.279621,68.000000,FALSE,FALSE,FALSE,Primary
Our Lady of Good Counsel Catholic Primary School,53.825035,-1.468512,0.274882,68.000000,FALSE,TRUE,FALSE,Primary
Great Preston VC CofE Primary School,53.761613,-1.395552,0.270142,68.000000,FALSE,TRUE,FALSE,Primary
Allerton CofE Primary School,0.000000,0.000000,0.265403,68.000000,FALSE,TRUE,FALSE,Primary
East Ardsley Primary School,53.725252,-1.534979,0.260664,67.000000,FALSE,FALSE,FALSE,Primary
Beechwood Primary School,53.818540,-1.467819,0.255924,67.000000,FALSE,FALSE,FALSE,Primary
Drighlington Primary School,53.753982,-1.664464,0.251185,67.000000,FALSE,FALSE,FALSE,Primary
Bramley Primary School,53.810351,-1.642474,0.246445,66.000000,FALSE,FALSE,FALSE,Primary
Kerr Mackie Primary School,53.828910,-1.513415,0.241706,66.000000,FALSE,FALSE,FALSE,Primary
Pudsey Bolton Royd Primary School,53.801482,-1.694879,0.236967,65.000000,FALSE,FALSE,FALSE,Primary
Christ The King Catholic Primary School,0.000000,0.000000,0.232227,65.000000,FALSE,TRUE,TRUE,Primary
Strawberry Fields Primary School,53.790025,-1.392367,0.227488,64.000000,FALSE,FALSE,FALSE,Primary
Oulton Primary School,53.753692,-1.457954,0.222749,64.000000,FALSE,FALSE,FALSE,Primary
St Francis of Assisi Catholic Primary School,53.778768,-1.547694,0.218009,64.000000,FALSE,TRUE,TRUE,Primary
Hunslet Moor Primary School,53.777831,-1.543773,0.213270,64.000000,FALSE,FALSE,FALSE,Primary
Hugh Gaitskell Primary School,53.771245,-1.568603,0.208531,63.000000,FALSE,FALSE,FALSE,Primary
Thorpe Primary School,53.834603,-1.729370,0.203791,63.000000,FALSE,FALSE,FALSE,Primary
Shire Oak VC Primary School,53.822232,-1.573961,0.199052,63.000000,FALSE,TRUE,FALSE,Primary
Blackgates Primary School,53.728989,-1.565908,0.194313,62.000000,FALSE,FALSE,FALSE,Primary
Beeston Primary School,53.772033,-1.572824,0.189573,62.000000,FALSE,FALSE,FALSE,Primary
Sharp Lane Primary School,53.749070,-1.527121,0.184834,62.000000,FALSE,FALSE,FALSE,Primary
St Josephs Catholic Primary School Otley,53.906600,-1.695761,0.180095,62.000000,FALSE,TRUE,TRUE,Primary
Queensway Primary School,53.871961,-1.690119,0.175355,62.000000,FALSE,FALSE,FALSE,Primary
Christ Church Upper Armley Church of England Voluntary Controlled Primary School,0.000000,0.000000,0.170616,62.000000,FALSE,TRUE,FALSE,Primary
Five Lanes Primary School,53.790645,-1.589646,0.165877,62.000000,FALSE,FALSE,FALSE,Primary
Pudsey Waterloo Primary,53.794977,-1.676931,0.161137,61.000000,FALSE,FALSE,FALSE,Primary
Whitecote Primary School,53.817873,-1.627061,0.156398,61.000000,FALSE,FALSE,FALSE,Primary
Ryecroft Primary School,53.790922,-1.617564,0.151659,61.000000,FALSE,FALSE,FALSE,Primary
Harehills Primary School,53.811960,-1.513794,0.146919,60.000000,FALSE,FALSE,FALSE,Primary
Hollybush Primary,53.813830,-1.616815,0.142180,60.000000,FALSE,FALSE,FALSE,Primary
Whitkirk Primary School,53.793419,-1.455390,0.137441,60.000000,FALSE,FALSE,FALSE,Primary
Summerfield Primary School,53.813385,-1.653560,0.132701,59.000000,FALSE,FALSE,FALSE,Primary
Wykebeck Primary School,53.806433,-1.490632,0.127962,59.000000,FALSE,FALSE,FALSE,Primary
Brudenell Primary School,53.813218,-1.570911,0.123223,58.000000,FALSE,FALSE,FALSE,Primary
Swarcliffe Primary School,53.820381,-1.451876,0.118483,58.000000,FALSE,FALSE,FALSE,Primary
Rosebank Primary School,53.803634,-1.566820,0.113744,57.000000,FALSE,FALSE,FALSE,Primary
Ireland Wood Primary School,53.852545,-1.604799,0.109005,57.000000,FALSE,FALSE,FALSE,Primary
Raynville Primary School,53.808069,-1.619175,0.104265,55.000000,FALSE,FALSE,FALSE,Primary
Bramley St Peters Church of England Primary School,0.000000,0.000000,0.099526,55.000000,FALSE,TRUE,FALSE,Primary
The New Bewerley Community Primary School,0.000000,0.000000,0.094787,55.000000,FALSE,FALSE,FALSE,Primary
Iveson Primary School,53.843388,-1.605115,0.090047,54.000000,FALSE,FALSE,FALSE,Primary
Oakwood Primary School,53.812721,-1.498563,0.085308,54.000000,FALSE,FALSE,FALSE,Primary
Moor Allerton Hall Primary School,53.839276,-1.523343,0.080569,53.000000,FALSE,FALSE,FALSE,Primary
Micklefield Church of England Voluntary Controlled Primary School,0.000000,0.000000,0.075829,53.000000,FALSE,TRUE,FALSE,Primary
Bracken Edge Primary School,53.820880,-1.526645,0.071090,51.000000,FALSE,FALSE,FALSE,Primary
Pudsey Tyersal Primary School,53.789158,-1.700961,0.066351,50.000000,FALSE,FALSE,FALSE,Primary
Hovingham Primary School,53.816114,-1.509284,0.061611,49.000000,FALSE,FALSE,FALSE,Primary
Burley St Matthias Church of England Voluntary Controlled Primary School,0.000000,0.000000,0.056872,48.000000,FALSE,TRUE,FALSE,Primary
Brownhill Primary School,53.802207,-1.510693,0.052133,48.000000,FALSE,FALSE,FALSE,Primary
St James Church of England Voluntary Controlled Primary School,0.000000,0.000000,0.047393,47.000000,FALSE,TRUE,FALSE,Primary
Mill Field Primary School,53.823618,-1.549560,0.042654,46.000000,FALSE,FALSE,FALSE,Primary
Meadowfield Primary School,53.794236,-1.490105,0.037915,45.000000,FALSE,FALSE,FALSE,Primary
